N,n,nb,nc,nb_gen,p_suppr,p_cat,p_statut,p_ajout,taille_indi,taille_while,partitions,elitisme,fit,f_croisement,f_mutation,f_selection,l_indi,    tps_calc,fit_max,fit_moy,fit_min,tbc_ns,tbc_s
5,6,5,3,1,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,4.692101955413818,0.7938435750030184,0.7802223220952614,0.7697516253091302,74.73684210526315,54.63157894736842,
5,6,5,3,5,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,17.180459022521973,0.8201580717712553,0.8121413521842872,0.8010833296528013,78.6842105263158,60.421052631578945,
5,6,5,3,10,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,40.133068799972534,0.841384386250867,0.8314017454493783,0.8253674593181503,81.63157894736842,67.15789473684211,
5,6,5,3,20,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,87.71089696884155,0.8563567712435283,0.8547629105077726,0.8515273585509575,83.78947368421052,70.84210526315789,
10,6,5,3,1,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,9.260197162628174,0.7869901057022365,0.7727109707522373,0.7614736022979772,71.94736842105263,50.94736842105263,
10,6,5,3,5,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,36.277021408081055,0.808819018396191,0.7988947083959425,0.7906498692074294,76.73684210526316,57.47368421052632,
10,6,5,3,10,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,70.92093110084534,0.825277939253727,0.8164835456233493,0.8038367011381943,79.6842105263158,64.73684210526316,
10,6,5,3,20,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,153.59752082824707,0.8656216277720418,0.8511312166559184,0.8421028188616535,86.31578947368422,75.78947368421053,
20,6,5,3,1,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,18.080281257629395,0.8025255927636511,0.7799881250328597,0.7614115241545142,76.05263157894737,54.94736842105263,
20,6,5,3,5,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,69.2351131439209,0.8213381253649381,0.7906334884210872,0.7791124614443699,76.36842105263158,60.21052631578947,
20,6,5,3,10,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,147.12300515174866,0.8594744323820211,0.836327679182312,0.8264553933785493,85.3157894736842,76.0,
20,6,5,3,20,0.2,0.1,0.2,0.2,10,50,trapeze_1,True,fitness,croiser_population1,muter_pop,selection,0,341.52255058288574,0.884553111376157,0.8654940596550247,0.8551095400444411,88.36842105263158,80.52631578947368,
